Date,Cumulative cases,New cases
2/21/2020,1,1
2/22/2020,1,0
2/23/2020,1,0
2/24/2020,1,0
2/25/2020,1,0
2/26/2020,4,3
2/27/2020,6,2
2/28/2020,15,9
2/29/2020,21,6
3/1/2020,31,10
3/2/2020,43,12
3/3/2020,74,31
3/4/2020,107,33
3/5/2020,140,33
3/6/2020,164,24
3/7/2020,183,19
3/8/2020,248,65
3/9/2020,495,247
3/10/2020,736,241
3/11/2020,911,175
3/12/2020,1117,206
3/13/2020,1264,147
3/14/2020,1364,100
3/15/2020,1463,99
3/16/2020,1643,180
3/17/2020,1819,176
3/18/2020,2032,213
3/19/2020,2271,239
3/20/2020,2579,308
3/21/2020,2753,174
3/22/2020,2901,148
3/23/2020,3197,296
3/24/2020,3510,313
3/25/2020,3802,292
3/26/2020,4100,298
3/27/2020,4362,262
3/28/2020,4528,166
3/29/2020,4634,106
3/30/2020,4898,264
3/31/2020,5106,208
4/1/2020,5304,198
4/2/2020,5502,198
4/3/2020,5666,164
4/4/2020,5754,88
4/5/2020,5826,72
4/6/2020,5985,159
4/7/2020,6125,140
4/8/2020,6231,106
4/9/2020,6334,103
4/10/2020,6402,68
4/11/2020,6512,110
4/12/2020,6588,76
4/13/2020,6665,77
4/14/2020,6787,122
4/15/2020,6890,103
4/16/2020,6970,80
4/17/2020,7078,108
4/18/2020,7127,49
4/19/2020,7163,36
4/20/2020,7247,84
4/21/2020,7325,78
4/22/2020,7402,77
4/23/2020,7471,69
4/24/2020,7524,53
4/25/2020,7549,25
4/26/2020,7586,37
4/27/2020,7657,71
4/28/2020,7707,50
4/29/2020,7746,39
4/30/2020,7785,39
5/1/2020,7828,43
5/2/2020,7851,23
5/3/2020,7895,44
5/4/2020,7940,45
5/5/2020,7984,44
5/6/2020,8023,39
5/7/2020,8052,29
5/8/2020,8094,42
5/9/2020,8105,11
5/10/2020,8117,12
5/11/2020,8142,25
5/12/2020,8161,19
5/13/2020,8180,19
5/14/2020,8204,24
5/15/2020,8227,23
5/16/2020,8240,13
5/17/2020,8244,4
5/18/2020,8261,17
5/19/2020,8281,20
5/20/2020,8300,19
5/21/2020,8314,14
5/22/2020,8340,26
5/23/2020,8346,6
5/24/2020,8352,6
5/25/2020,8370,18
5/26/2020,8382,12
5/27/2020,8400,18
5/28/2020,8416,16
5/29/2020,8432,16
5/30/2020,8432,0
5/31/2020,8438,6
6/1/2020,8445,7
6/2/2020,8476,31
6/3/2020,8488,12
6/4/2020,8505,17
6/5/2020,8535,30
6/6/2020,8543,8
6/7/2020,8552,9
6/8/2020,8571,19
6/9/2020,8584,13
6/10/2020,8598,14
6/11/2020,8609,11
6/12/2020,8622,13
6/13/2020,8629,7
6/14/2020,8635,6
6/15/2020,8653,18
6/16/2020,8689,36
6/17/2020,8704,15
6/18/2020,8717,13
6/19/2020,8735,18
6/20/2020,8741,6
6/21/2020,8745,4
6/22/2020,8773,28
6/23/2020,8786,13
6/24/2020,8807,21
6/25/2020,8824,17
6/26/2020,8846,22
6/27/2020,8856,10
6/28/2020,8857,1
6/29/2020,8883,26
6/30/2020,8894,11
7/1/2020,8902,8
7/2/2020,8911,9
7/3/2020,8921,10
7/4/2020,8923,2
7/5/2020,8924,1
7/6/2020,8938,14
7/7/2020,8948,10
7/8/2020,8959,11
7/9/2020,8967,8
7/10/2020,8980,13
7/11/2020,8984,4
7/12/2020,8989,5
7/13/2020,9008,19
7/14/2020,9016,8
7/15/2020,9022,6
7/16/2020,9026,4
7/17/2020,9038,12
7/18/2020,9039,1
7/19/2020,9042,3
7/20/2020,9063,21
7/21/2020,9069,6
7/22/2020,9091,22
7/23/2020,9097,6
7/24/2020,9121,24
7/25/2020,9127,6
7/26/2020,9136,9
7/27/2020,9160,24
7/28/2020,9176,16
7/29/2020,9213,37
7/30/2020,9236,23
7/31/2020,9308,72
8/1/2020,9322,14
8/2/2020,9335,13
8/3/2020,9373,38
8/4/2020,9413,40
8/5/2020,9479,66
8/6/2020,9558,79
8/7/2020,9638,80
8/8/2020,9673,35
8/9/2020,9707,34
8/10/2020,9770,63
8/11/2020,9813,43
8/12/2020,9876,63
8/13/2020,9930,54
8/14/2020,10006,76
8/15/2020,10050,44
8/16/2020,10077,27
8/17/2020,10151,74
8/18/2020,10209,58
8/19/2020,10269,60
8/20/2020,10319,50
8/21/2020,10372,53
8/22/2020,10417,45
8/23/2020,10436,19
8/24/2020,10503,67
8/25/2020,10545,42
8/26/2020,10585,40
8/27/2020,10637,52
8/28/2020,10721,84
8/29/2020,10763,42
8/30/2020,10813,50
8/31/2020,10961,148
9/1/2020,11076,115
9/2/2020,11177,101
9/3/2020,11302,125
9/4/2020,11421,119
9/5/2020,11494,73
9/6/2020,11554,60
9/7/2020,11686,132
9/8/2020,11799,113
9/9/2020,11923,124
9/10/2020,12055,132
9/11/2020,12174,119
9/12/2020,12241,67
9/13/2020,12319,78
9/14/2020,12423,104
9/15/2020,12556,133
9/16/2020,12693,137
9/17/2020,12810,117
9/18/2020,12904,94
9/19/2020,12962,58
9/20/2020,13039,77
9/21/2020,13202,163
9/22/2020,13303,101
9/23/2020,13446,143
9/24/2020,13579,133
9/25/2020,13709,130
9/26/2020,13772,63
9/27/2020,13826,54
9/28/2020,13950,124
9/29/2020,14060,110
9/30/2020,14180,120
10/1/2020,14311,131
10/2/2020,14445,134
10/3/2020,14555,110
10/4/2020,14644,89
10/5/2020,14853,209
10/6/2020,15051,198
10/7/2020,15250,199
10/8/2020,15418,168
10/9/2020,15559,141
10/10/2020,15624,65
10/11/2020,15702,78
10/12/2020,15869,167
10/13/2020,16024,155
10/14/2020,16186,162
10/15/2020,16327,141
10/16/2020,16464,137
10/17/2020,16552,88
10/18/2020,16645,93
10/19/2020,16864,219
10/20/2020,17047,183
10/21/2020,17268,221
10/22/2020,17553,285
10/23/2020,17921,368
10/24/2020,18152,231
10/25/2020,18354,202
10/26/2020,18841,487
10/27/2020,19232,391
10/28/2020,19746,514
10/29/2020,20177,431
10/30/2020,20794,617
10/31/2020,21179,385
11/1/2020,21502,323
11/2/2020,22149,647
11/3/2020,22831,682
11/4/2020,23521,690
11/5/2020,24123,602
11/6/2020,24773,650
11/7/2020,25161,388
11/8/2020,25546,385
11/9/2020,26252,706
11/10/2020,26855,603
11/11/2020,27517,662
11/12/2020,28154,637
11/13/2020,28851,697
11/14/2020,29230,379
11/15/2020,29635,405
11/16/2020,30357,722
11/17/2020,30992,635
11/18/2020,31644,652
11/19/2020,32208,564
11/20/2020,32727,519
11/21/2020,33015,288
11/22/2020,33294,279
11/23/2020,33903,609
11/24/2020,34318,415
11/25/2020,34831,513
11/26/2020,35308,477
11/27/2020,35755,447
11/28/2020,35991,236
11/29/2020,36219,228
11/30/2020,36667,448
12/1/2020,37029,362
12/2/2020,37449,420
12/3/2020,37849,400
12/4/2020,38231,382
12/5/2020,38483,252
12/6/2020,38745,262
12/7/2020,39245,500
12/8/2020,39637,392
12/9/2020,40090,453
12/10/2020,40525,435
12/11/2020,40928,403
12/12/2020,41184,256
12/13/2020,41469,285
12/14/2020,42013,544
12/15/2020,42453,440
12/16/2020,42903,450
12/17/2020,43334,431
12/18/2020,43809,475
12/19/2020,44118,309
12/20/2020,44417,299
12/21/2020,45038,621
12/22/2020,45598,560
12/23/2020,46185,587
12/24/2020,46477,292
12/25/2020,46770,293
12/26/2020,47236,466
12/27/2020,47661,425
12/28/2020,48439,778
12/29/2020,49138,699
12/30/2020,49777,639
12/31/2020,50211,434
1/1/2021,50557,346
1/2/2021,51083,526
1/3/2021,51530,447
1/4/2021,52468,938
1/5/2021,53262,794
1/6/2021,53972,710
1/7/2021,54710,738
1/8/2021,55361,651
1/9/2021,55775,414
1/10/2021,56210,435
1/11/2021,56849,639
1/12/2021,57411,562
1/13/2021,57873,462
1/14/2021,58327,454
1/15/2021,58725,398
1/16/2021,58992,267
1/17/2021,59218,226
1/18/2021,59664,446
1/19/2021,60006,342
1/20/2021,60360,354
1/21/2021,60705,345
1/22/2021,61036,331
1/23/2021,61248,212
1/24/2021,61437,189
1/25/2021,61824,387
1/26/2021,62100,276
1/27/2021,62444,344
1/28/2021,62729,285
1/29/2021,63024,295
1/30/2021,63199,175
1/31/2021,63381,182
2/1/2021,63700,319
2/2/2021,63994,294
2/3/2021,64319,325
2/4/2021,64572,253
2/5/2021,64860,288
2/6/2021,65058,198
2/7/2021,65225,167
2/8/2021,65526,301
2/9/2021,65796,270
2/10/2021,66106,310
2/11/2021,66368,262
2/12/2021,66615,247
2/13/2021,66800,185
2/14/2021,66960,160
2/15/2021,67292,332
2/16/2021,67597,305
2/17/2021,67917,320
2/18/2021,68218,301
2/19/2021,68556,338
2/20/2021,68772,216
2/21/2021,68993,221
2/22/2021,69404,411
2/23/2021,69849,445
2/24/2021,70310,461
2/25/2021,70837,527
2/26/2021,71330,493
2/27/2021,71711,381
2/28/2021,72102,391
3/1/2021,72653,551
3/2/2021,73292,639
3/3/2021,73951,659
3/4/2021,74552,601
3/5/2021,75255,703
3/6/2021,75720,465
3/7/2021,76292,572
3/8/2021,77138,846
3/9/2021,77936,798
3/10/2021,78790,854
3/11/2021,79570,780
3/12/2021,80520,950
3/13/2021,81256,736
3/14/2021,81954,698
3/15/2021,83061,1107
3/16/2021,84068,1007
3/17/2021,85127,1059
3/18/2021,86171,1044
3/19/2021,87171,1000
3/20/2021,87880,709
3/21/2021,88529,649
3/22/2021,89636,1107
3/23/2021,90602,966
3/24/2021,91603,1001
3/25/2021,92474,871
3/26/2021,93369,895
3/27/2021,93971,602
3/28/2021,94448,477
3/29/2021,95313,865
3/30/2021,96162,849
3/31/2021,96967,805
4/1/2021,97591,624
4/2/2021,98290,699
4/3/2021,98902,612
4/4/2021,99555,653
4/5/2021,100270,715
4/6/2021,101158,888
4/7/2021,102006,848
4/8/2021,102775,769
4/9/2021,103487,712
4/10/2021,103983,496
4/11/2021,104378,395
4/12/2021,105116,738
4/13/2021,105711,595
4/14/2021,106312,601
4/15/2021,106861,549
4/16/2021,107440,579
4/17/2021,107771,331
4/18/2021,108116,345
4/19/2021,108691,575
4/20/2021,109223,532
4/21/2021,109761,538
4/22/2021,110224,463
4/23/2021,110733,509
4/24/2021,111020,287
4/25/2021,111337,317
4/26/2021,111839,502
4/27/2021,112320,481
4/28/2021,112739,419
4/29/2021,113153,414
4/30/2021,113594,441
5/1/2021,113845,251
5/2/2021,114141,296
5/3/2021,114652,511
5/4/2021,115115,463
5/5/2021,115610,495
5/6/2021,116119,509
5/7/2021,116557,438
5/8/2021,116909,352
5/9/2021,117261,352
5/10/2021,117785,524
5/11/2021,118212,427
5/12/2021,118592,380
5/13/2021,118890,298
5/14/2021,119305,415
5/15/2021,119545,240
5/16/2021,119823,278
5/17/2021,120006,183
5/18/2021,120548,542
5/19/2021,121089,541
5/20/2021,121692,603
5/21/2021,122360,668
5/22/2021,122712,352
5/23/2021,123050,338
5/24/2021,123433,383
5/25/2021,123860,427
5/26/2021,124223,363
5/27/2021,124607,384
5/28/2021,124954,347
5/29/2021,125153,199
5/30/2021,125338,185
5/31/2021,125682,344
6/1/2021,126069,387
6/2/2021,126362,293
6/3/2021,126644,282
6/4/2021,126906,262
6/5/2021,127051,145
6/6/2021,127202,151
6/7/2021,127405,203
6/8/2021,127620,215
6/9/2021,127827,207
6/10/2021,128029,202
6/11/2021,128184,155
6/12/2021,128313,129
6/13/2021,128424,111
6/14/2021,128631,207
6/15/2021,128826,195
6/16/2021,129041,215
6/17/2021,129238,197
6/18/2021,129410,172
6/19/2021,129563,153
6/20/2021,129678,115
6/21/2021,129883,205
6/22/2021,130149,266
6/23/2021,130388,239
6/24/2021,130562,174
6/25/2021,130736,174
6/26/2021,130842,106
6/27/2021,130948,106
6/28/2021,131174,226
6/29/2021,131387,213
6/30/2021,131648,261
7/1/2021,131845,197
7/2/2021,132031,186
7/3/2021,132130,99
7/4/2021,132253,123
7/5/2021,132460,207
7/6/2021,132660,200
7/7/2021,132864,204
7/8/2021,133047,183
7/9/2021,133222,175
7/10/2021,133330,108
7/11/2021,133431,101
7/12/2021,133618,187
7/13/2021,133764,146
7/14/2021,133947,183
7/15/2021,134133,186
7/16/2021,134359,226
7/17/2021,134470,111
7/18/2021,134614,144
7/19/2021,134843,229
7/20/2021,135016,173
7/21/2021,135276,260
7/22/2021,135491,215
7/23/2021,135742,251
7/24/2021,135917,175
7/25/2021,136116,199
7/26/2021,136431,315
7/27/2021,136780,349
7/28/2021,137202,422
7/29/2021,137548,346
7/30/2021,137902,354
7/31/2021,138151,249
8/1/2021,138393,242
8/2/2021,138848,455
8/3/2021,139294,446
8/4/2021,139794,500
8/5/2021,140257,463
8/6/2021,140734,477
8/7/2021,141056,322
8/8/2021,141386,330
8/9/2021,142054,668
8/10/2021,142630,576
8/11/2021,143238,608
8/12/2021,143777,539
8/13/2021,144322,545
8/14/2021,144756,434
8/15/2021,145131,375
8/16/2021,145756,625
8/17/2021,146392,636
8/18/2021,147081,689
8/19/2021,147749,668
8/20/2021,148490,741
8/21/2021,149082,592
8/22/2021,149636,554
8/23/2021,150815,1179
8/24/2021,152149,1334
8/25/2021,153564,1415
8/26/2021,154957,1393
8/27/2021,156390,1433
8/28/2021,157390,1000
8/29/2021,158346,956
8/30/2021,160201,1855
8/31/2021,161823,1622
9/1/2021,163436,1613
9/2/2021,164959,1523
9/3/2021,166504,1545
9/4/2021,167496,992
9/5/2021,168450,954
9/6/2021,170233,1783
9/7/2021,171671,1438
9/8/2021,173051,1380
9/9/2021,174376,1325
9/10/2021,175559,1183
9/11/2021,176224,665
9/12/2021,177001,777
9/13/2021,178314,1313
9/14/2021,179325,1011
9/15/2021,180245,920
9/16/2021,181054,809
9/17/2021,181738,684
9/18/2021,182247,509
9/19/2021,182728,481
9/20/2021,183716,988
9/21/2021,184418,702
9/22/2021,185143,725
9/23/2021,185903,760
9/24/2021,186552,649
9/25/2021,186956,404
9/26/2021,187342,386
9/27/2021,188092,750
9/28/2021,188700,608
9/29/2021,189283,583
9/30/2021,189779,496
10/1/2021,190267,488
10/2/2021,190566,299
10/3/2021,190822,256
10/4/2021,191478,656
10/5/2021,191964,486
10/6/2021,192456,492
10/7/2021,192905,449
10/8/2021,193351,446
10/9/2021,193589,238
10/10/2021,193832,243
10/11/2021,194447,615
10/12/2021,194905,458
10/13/2021,195291,386
10/14/2021,195667,376
10/15/2021,196113,446
10/16/2021,196402,289
10/17/2021,196661,259
10/18/2021,197405,744
10/19/2021,197984,579
10/20/2021,198700,716
10/21/2021,199344,644
10/22/2021,200096,752
10/23/2021,200559,463
10/24/2021,201059,500
10/25/2021,202283,1224
10/26/2021,203338,1055
10/27/2021,204450,1112
10/28/2021,205594,1144
10/29/2021,206767,1173
10/30/2021,207371,604
10/31/2021,208058,687
